Transecta	Año	Punto	x	y	Sustrato	Hojarasca	Arbt	Arbo	sp	Estado	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	tq_s	tq_a
2	1938	26	50	0	H	5	0	21.84	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	27	52	0	T	2	0	22.4	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1938	28	54	0	H	5	0	20.61	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	1938	29	56	0	H	3	4	17.82	Ca?	Seco	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1
2	1938	30	58	0	H	6	0	21.19	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1938	31	60	0	H	5	0	22.31	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	1	0	0	H	3	0	6.2	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	2	2	0	H	3.5	1.4	10.02	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	3	4	0	H	1	3.5	9.4	Blinearifolia	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	3	4	0	H	1	3.5	9.4	Coihue	Vivo	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
3	1943	4	6	0	H	2.5	3	15.7	Coihue	Vivo	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2
3	1943	5	8	0	H	1.5	3	13.61	Ca?	Seco	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3	1943	6	10	0	H	6.5	2.5	20.7	Adenocaulon	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	6	10	0	H	6.5	2.5	20.7	Ca?	Seco	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
3	1943	7	12	0	H	3.5	0.8	20.3	Adenocaulon	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	7	12	0	H	3.5	0.8	20.3	Ca?	Seco	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
3	1943	8	14	0	H	1	0	21.69	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	9	16	0	H	1.5	0.6	21.12	Osmorhyza	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	10	18	0	H	2	0.8	17.05	Ca?	Seco	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
3	1943	11	20	0	H	2.5	0.7	20.11	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	12	22	0	H	1.5	0.6	19.94	Ca?	Seco	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	13	24	0	H	2	0.25	21.28	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	14	26	0	H	2	0.25	19.94	Adenocaulon	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	14	26	0	H	2	0.25	19.94	Osmorhyza	Seco	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	15	28	0	H	3	0.3	20.46	Michay	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	15	28	0	H	3	0.3	20.46	Mchubutensis	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	16	30	0	H	2.5	0.6	22.56	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	16	30	0	H	2.5	0.6	22.56	Michay	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	17	32	0	H	2.5	0	20.46	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	18	34	0	T	1	0	19.6	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	19	36	0	C	1.5	0.3	20.67	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	20	38	0	H	3	0.8	14.23	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	21	40	0	H	3	1.1	19.57	Coihue	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	21	40	0	H	3	1.1	19.57	Ca?	Seco	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0
3	1943	22	42	0	H	3.5	0.7	13.09	Ca?	Vivo	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
3	1943	23	44	0	H	2.5	0.5	16.62	Ca?	Vivo	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
3	1943	24	46	0	H	3	0	17.49	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	25	48	0	H	1.5	0.8	18.71	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	26	50	0	H	4	0.7	16.67	Ca?	Vivo	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
3	1943	27	52	0	H	1.5	1.3	15	Ca?	Seco	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
3	1943	27	52	0	H	1.5	1.3	15	Vicia	Vivo	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	28	54	0	H	3	0	21.5	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1943	29	56	0	H	1	1.5	20.74	Ca?	Seco	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	30	58	0	H	2	0.1	19.25	Ca?	Vivo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	30	58	0	H	2	0.1	19.25	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	1943	31	60	0	H	3.5	2.7	19.62	Ca?	Vivo	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
4	1943	1	0	0	H	5	5	10.5	Ca?	Seco	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
4	1943	1	0	0	H	5	5	10.5	Coihue	Seco	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2
4	1943	2	2	0	H	4	0.3	20.5	Ca?	Seco	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4	1943	3	4	0	H	5.5	2	26.2	Ca?	Seco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
